company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
DLF,Mar 2023,3,-2.17,DECLINE,,TURNAROUND,,TURNAROUND
DLF,Mar 2023,5,-3.22,DECLINE,-14.6,DECLINE,-20.38,DECLINE
DLF,Mar 2023,10,-3.06,DECLINE,11.8,NORMAL,7.18,NORMAL
DLF,Mar 2024,5,-5.14,DECLINE,15.7,NORMAL,12.89,NORMAL
DLF,Mar 2024,10,-2.52,DECLINE,16.53,NORMAL,10.65,NORMAL
DRREDDY,Mar 2017,3,1.9,NORMAL,-13.01,DECLINE,-11.39,DECLINE
DRREDDY,Mar 2018,3,-1.67,DECLINE,-25.99,DECLINE,-25.87,DECLINE
DRREDDY,Mar 2018,5,3.83,NORMAL,-9.11,DECLINE,-9.38,DECLINE
DRREDDY,Mar 2019,3,-0.26,DECLINE,-2.92,DECLINE,-2.74,DECLINE
DRREDDY,Mar 2019,5,2.86,NORMAL,-0.13,DECLINE,,INSUFFICIENT_DATA
DRREDDY,Mar 2020,5,3.12,NORMAL,-2.81,DECLINE,-2.33,DECLINE
DRREDDY,Mar 2021,5,4.12,NORMAL,-1.74,DECLINE,-1.65,DECLINE
EICHERMOT,Mar 2016,3,-3.22,DECLINE,36.59,NORMAL,48.38,NORMAL
EICHERMOT,Mar 2017,3,-6.98,DECLINE,33.41,NORMAL,38.42,NORMAL
EICHERMOT,Mar 2021,3,-0.92,DECLINE,-11.75,DECLINE,-12.04,DECLINE
EICHERMOT,Mar 2021,5,7.15,NORMAL,0.13,NORMAL,,INSUFFICIENT_DATA
EICHERMOT,Mar 2022,3,1.68,NORMAL,-8.69,DECLINE,-9.02,DECLINE
EICHERMOT,Mar 2022,5,7.93,NORMAL,0.12,NORMAL,,INSUFFICIENT_DATA
GAIL,Mar 2016,3,0.7,NORMAL,-24.57,DECLINE,-20.63,DECLINE
GAIL,Mar 2017,3,-7.71,DECLINE,-11.0,DECLINE,-10.61,DECLINE
GAIL,Mar 2018,3,-3.45,DECLINE,14.99,NORMAL,11.87,NORMAL
GAIL,Mar 2023,3,26.17,NORMAL,-16.22,DECLINE,-13.69,DECLINE
GODREJCP,Mar 2016,3,9.52,NORMAL,-0.56,DECLINE,,INSUFFICIENT_DATA
GODREJCP,Mar 2022,3,5.98,NORMAL,-8.69,DECLINE,-9.59,DECLINE
GODREJCP,Mar 2024,3,8.52,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GODREJCP,Mar 2024,5,6.45,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GODREJCP,Mar 2024,10,6.37,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GRASIM,Mar 2016,3,7.31,NORMAL,-2.94,DECLINE,-3.64,DECLINE
GRASIM,Mar 2018,5,14.9,NORMAL,-0.48,DECLINE,-7.31,DECLINE
GRASIM,Mar 2019,3,30.81,NORMAL,-7.38,DECLINE,-21.15,DECLINE
GRASIM,Mar 2019,5,22.2,NORMAL,-1.46,DECLINE,-10.69,DECLINE
GRASIM,Mar 2020,3,23.69,NORMAL,16.07,NORMAL,-0.51,DECLINE
HAL,Mar 2016,3,5.36,NORMAL,-12.64,DECLINE,-39.11,DECLINE
HAL,Mar 2017,3,5.85,NORMAL,-0.96,DECLINE,8.74,NORMAL
HAL,Mar 2018,3,5.59,NORMAL,-5.94,DECLINE,6.27,NORMAL
HAL,Mar 2018,5,5.27,NORMAL,-7.89,DECLINE,-24.71,DECLINE
HAL,Mar 2019,5,5.74,NORMAL,-2.72,DECLINE,4.56,NORMAL
HAL,Mar 2023,10,6.51,NORMAL,6.85,NORMAL,-3.48,DECLINE
HAVELLS,Mar 2017,3,-8.69,DECLINE,3.47,NORMAL,4.55,NORMAL
HAVELLS,Mar 2018,3,-1.41,DECLINE,19.74,NORMAL,22.39,NORMAL
HAVELLS,Mar 2019,3,9.87,NORMAL,-15.37,DECLINE,-14.77,DECLINE
HAVELLS,Mar 2021,5,6.61,NORMAL,-4.29,DECLINE,-4.14,DECLINE
HDFCLIFE,Mar 2017,3,21.31,NORMAL,6.95,NORMAL,,INSUFFICIENT_DATA
HDFCLIFE,Mar 2020,3,-1.4,DECLINE,13.5,NORMAL,14.47,NORMAL
HDFCLIFE,Mar 2022,3,19.99,NORMAL,1.26,NORMAL,,INSUFFICIENT_DATA
HDFCLIFE,Mar 2023,3,33.69,NORMAL,1.79,NORMAL,,INSUFFICIENT_DATA
HDFCLIFE,Mar 2023,5,16.83,NORMAL,4.32,NORMAL,,INSUFFICIENT_DATA
HDFCLIFE,Mar 2024,3,12.37,NORMAL,4.97,NORMAL,,INSUFFICIENT_DATA
HEROMOTOCO,Mar 2021,3,-1.56,DECLINE,-7.6,DECLINE,-7.75,DECLINE
HEROMOTOCO,Mar 2021,5,1.7,NORMAL,-1.16,DECLINE,-1.44,DECLINE
HEROMOTOCO,Mar 2022,3,-4.54,DECLINE,-12.41,DECLINE,-12.3,DECLINE
HEROMOTOCO,Mar 2022,5,0.65,NORMAL,-8.06,DECLINE,-8.31,DECLINE
HEROMOTOCO,Mar 2023,3,5.3,NORMAL,-8.53,DECLINE,-8.16,DECLINE
HEROMOTOCO,Mar 2023,5,1.03,NORMAL,-5.53,DECLINE,-5.39,DECLINE
HINDALCO,Mar 2016,3,7.19,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
HINDALCO,Mar 2017,3,4.54,NORMAL,-5.0,DECLINE,-10.07,DECLINE
HINDALCO,Mar 2019,3,9.75,NORMAL,,TURNAROUND,,TURNAROUND
HINDALCO,Mar 2021,3,4.65,NORMAL,-16.96,DECLINE,-16.01,DECLINE
HINDALCO,Mar 2021,5,5.98,NORMAL,,TURNAROUND,,TURNAROUND
ICICIBANK,Mar 2017,3,7.19,NORMAL,-0.97,DECLINE,-2.0,DECLINE
ICICIBANK,Mar 2018,3,4.19,NORMAL,-11.08,DECLINE,-14.2,DECLINE
ICICIBANK,Mar 2018,5,6.73,NORMAL,-2.12,DECLINE,-4.36,DECLINE
ICICIBANK,Mar 2019,3,6.68,NORMAL,-19.55,DECLINE,-24.09,DECLINE
ICICIBANK,Mar 2019,5,7.79,NORMAL,-13.4,DECLINE,-16.26,DECLINE
ICICIBANK,Mar 2020,3,11.66,NORMAL,-0.34,DECLINE,-2.13,DECLINE
ICICIBANK,Mar 2020,5,9.07,NORMAL,-2.81,DECLINE,-4.62,DECLINE
ICICIPRULI,Mar 2018,3,4.07,NORMAL,-0.43,DECLINE,,INSUFFICIENT_DATA
ICICIPRULI,Mar 2018,5,14.16,NORMAL,1.34,NORMAL,,INSUFFICIENT_DATA
ICICIPRULI,Mar 2019,3,25.75,NORMAL,-11.62,DECLINE,-12.64,DECLINE
ICICIPRULI,Mar 2019,5,13.63,NORMAL,-6.11,DECLINE,-6.17,DECLINE
ICICIPRULI,Mar 2020,3,-17.77,DECLINE,-14.08,DECLINE,-16.45,DECLINE
ICICIPRULI,Mar 2020,5,-9.41,DECLINE,-8.24,DECLINE,-8.64,DECLINE
ICICIPRULI,Mar 2021,3,28.91,NORMAL,-16.1,DECLINE,-13.99,DECLINE
ICICIPRULI,Mar 2021,5,31.88,NORMAL,-10.34,DECLINE,-10.22,DECLINE
ICICIPRULI,Mar 2022,3,15.31,NORMAL,-12.65,DECLINE,-14.5,DECLINE
ICICIPRULI,Mar 2022,5,10.94,NORMAL,-14.71,DECLINE,-16.06,DECLINE
ICICIPRULI,Mar 2023,3,33.9,NORMAL,-8.66,DECLINE,-5.01,DECLINE
ICICIPRULI,Mar 2023,5,5.39,NORMAL,-12.87,DECLINE,-11.42,DECLINE
ICICIPRULI,Mar 2023,10,9.69,NORMAL,-6.03,DECLINE,-5.88,DECLINE
ICICIPRULI,Mar 2024,3,2.78,NORMAL,-3.8,DECLINE,-5.01,DECLINE
ICICIPRULI,Mar 2024,5,16.85,NORMAL,-5.66,DECLINE,-5.59,DECLINE
ICICIPRULI,Mar 2024,10,15.23,NORMAL,-5.89,DECLINE,-5.88,DECLINE
INDIGO,Mar 2016,3,20.59,NORMAL,36.14,NORMAL,-87.1,DECLINE
INDIGO,Mar 2017,3,18.67,NORMAL,51.83,NORMAL,-85.62,DECLINE
INDIGO,Mar 2018,3,18.24,NORMAL,19.8,NORMAL,-88.91,DECLINE
INDIGO,Mar 2018,5,20.13,NORMAL,23.29,NORMAL,-70.43,DECLINE
INDIGO,Mar 2019,3,20.86,NORMAL,-57.17,DECLINE,-58.26,DECLINE
INDIGO,Mar 2019,5,20.72,NORMAL,-19.93,DECLINE,-80.83,DECLINE
INDIGO,Mar 2020,3,24.38,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2020,5,20.76,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2021,3,-14.0,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2021,5,-1.93,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2022,3,-3.1,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2022,5,6.89,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2023,3,15.05,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
INDIGO,Mar 2023,5,18.79,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2023,10,19.45,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
INDIGO,Mar 2024,3,67.58,NORMAL,,TURNAROUND,,TURNAROUND
INDIGO,Mar 2024,10,20.01,NORMAL,32.93,NORMAL,-34.88,DECLINE
